question,document
Why does my FAQ dataset have a different number of records than the one shown in the videos?,e2d595f23c
Is it normal that the FAQ data keeps changing when I run the code now?,e2d595f23c
Why are some questions missing and new ones showing up in the live FAQ dataset?,e2d595f23c
"The video shows one record count, but I get another one — is the dataset updated over time?",e2d595f23c
Why doesn't my FAQ dataset match the course video count if the videos were recorded earlier?,e2d595f23c
Is it okay to turn in homework after the deadline if the submission form is still open?,a9353fadfe
The deadline already passed but the form still lets me submit — does that mean my homework will be accepted?,a9353fadfe
Can I submit my answers late as long as the homework form hasn’t been closed yet?,a9353fadfe
When does homework submission actually stop — is it the deadline date or when the form closes?,a9353fadfe
"If the homework deadline is over but the form is still available, should I just submit anyway?",a9353fadfe
Can I still hand in homework after the deadline if the form is open?,cdc3b285e5
Do you ever give individual homework deadline extensions?,cdc3b285e5
What happens if I miss a homework assignment in this course?,cdc3b285e5
Will missing homework stop me from getting the certificate?,cdc3b285e5
Are late homework submissions accepted once the submission form is closed?,cdc3b285e5
"Is the name I enter for the certificate kept private, or can other people see it somewhere online?",651ba06b34
"Will my certificate name be shared with anyone outside the course, or is it only printed on the certificate itself?",651ba06b34
"On the public leaderboard, does it show the same name I put for the certificate, or a different one?",651ba06b34
Can I use a nickname for the leaderboard and still have my real name on the certificate?,651ba06b34
Where do I change the public display name and the certificate name in the course profile settings?,651ba06b34
Why don’t we use LangChain in this course right away?,b7cdde6b25
What’s the reason for building the RAG parts by hand instead of using a framework?,b7cdde6b25
Is LangChain skipped because the course wants us to learn the basics first?,b7cdde6b25
Why is it better to understand retrieval and indexing before using LangChain?,b7cdde6b25
Should I learn the core LLM app pieces before moving to LangChain or other frameworks?,b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run `responses.create`?,f5df151c59
"What does it mean if `responses.create` fails with ""OpenAI API Error: Insufficient credits""?",f5df151c59
How can I fix the error that appears when using OpenAI `responses.create` and says I don't have enough credits?,f5df151c59
Is the `responses.create` command failing because my OpenAI account has no credits left?,f5df151c59
"I keep seeing ""OpenAI API Error: Insufficient credits"" on `responses.create` — what should I check?",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,152af39a53
"Does OpenAI API have any free quota, or do I need to add billing before I can use it?",152af39a53
"What does ""insufficient_quota"" mean in the OpenAI error message, and how do I fix it?",152af39a53
I topped up my account but still get the same API error — do I need to create a new key?,152af39a53
How do I check which OpenAI model I’m actually allowed to use in `responses.create(...)`?,152af39a53
How much money do I need to spend to start using the OpenAI API for this course?,554d0eb78b
Is it true that the OpenAI API only costs a tiny amount during the course?,554d0eb78b
What’s the minimum recharge amount for OpenAI API credits?,554d0eb78b
Will I need to pay a lot to use OpenAI in the RAG module?,554d0eb78b
About how much does initial OpenAI API usage usually cost?,554d0eb78b
Do I need to subscribe to OpenAI or pay for the API to finish the homework in this course?,85384a18e5
Can I complete the assignments without using a paid OpenAI API account?,85384a18e5
Are there any free or cheap alternatives to OpenAI API that I can use for the course?,85384a18e5
Where can I find the list of OpenAI API alternatives mentioned in the course materials?,85384a18e5
"If I don’t want to pay for OpenAI, what options do I have for the RAG module homework?",85384a18e5
Why does the course use uv instead of pip and virtualenv for Python setup?,f81dea8f7e
"What makes uv better or faster than the usual Python tools like pip, virtualenv, and poetry?",f81dea8f7e
"Do I have to use uv in this course, or can I still use pip and virtualenv?",f81dea8f7e
"What does uv replace in a Python workflow, and why is it considered more convenient?",f81dea8f7e
"How does uv help with managing Python versions, environments, and dependencies in one place?",f81dea8f7e
Why does my Jupyter notebook say OPENAI_API_KEY is missing even though I put it in .env?,86d99bbf21
"Do I need python-dotenv to read API keys in the notebook, and how do I load the env file?",86d99bbf21
Where exactly should I call load_dotenv() before making the OpenAI client in Jupyter?,86d99bbf21
Could the problem be that my variable name in .env is wrong for OpenAI auth?,86d99bbf21
What’s the quick fix if the notebook can’t see my OpenAI key after I add it to .env?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python without hardcoding them?,233dabe430
What’s the easiest way to use python-dotenv for OPENAI_API_KEY and other keys in a project?,233dabe430
Do I need to add .env to .gitignore before putting my secrets there?,233dabe430
How can I read values like GROQ_API_KEY or GEMINI_API_KEY from environment variables in my code?,233dabe430
What’s the recommended setup for storing API keys locally so they don’t get pushed to GitHub?,233dabe430
Can I swap the homework’s recommended model for a different LLM provider?,ee43413718
"Is it okay to use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, or even a local model instead of the one suggested?",ee43413718
Will I need to change the code if I choose another provider for the assignment?,ee43413718
"Do I have to pay for a model service to finish the homework, or can I do it for free?",ee43413718
Where can I find a list of API alternatives for the LLM Zoomcamp course?,ee43413718
What do I need to set up before I can call Gemini from the Module 1 notebook with the OpenAI-style endpoint?,0ae5c221b9
How can I make an OpenAI client talk to Google’s Gemini API instead of the usual OpenAI base URL?,0ae5c221b9
Is there a simple helper function example for sending instructions and a user prompt to a Gemini model in the notebook?,0ae5c221b9
Why does the course code need changes when I use the chat completions API with Gemini instead of the Responses format?,0ae5c221b9
Which parts of the notebook usually need editing when switching from the newer response objects to the older chat.completions output?,0ae5c221b9
How do I get Pydantic-style structured output from Gemini through the OpenAI-compatible API if `responses.parse` isn’t an option?,341f71f28c
What’s the simplest way to make Gemini return parsed objects when I’m using the OpenAI Python SDK?,341f71f28c
"Can I use `chat.completions.parse` with Gemini on the OpenAI endpoint, and how would that work?",341f71f28c
"Do I need to manually parse JSON to get structured output from Gemini, or is there a built-in parse flow?",341f71f28c
How should I define the schema and call the SDK so Gemini returns a `Questions` object instead of raw text?,341f71f28c
"How do I install Ollama on macOS, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to start using LLaMA 3 locally?",1d0b969028
How can I check if the Ollama server is running on my machine?,1d0b969028
What do I need to install in Python to use Ollama from code?,1d0b969028
Can you show me a minimal Python example for chatting with llama3 through Ollama?,1d0b969028
Why do I get a connection refused error when I prompt my Ollama RAG homework?,c6fc2d4d11
How can I fix the connection refused issue with Ollama during the RAG assignment?,c6fc2d4d11
Do I need to restart the Ollama server if my notebook says connection refused?,c6fc2d4d11
What command should I run to bring Ollama back up when it stops responding in the homework?,c6fc2d4d11
"If I stop and rerun my notebook cell, do I have to execute the Ollama serve cell again?",c6fc2d4d11
Why does tiktoken show fewer tokens than the number OpenAI returns for the same chat request?,bf0403d21b
"In a chat.completions.create call, what extra tokens does OpenAI add around each message?",bf0403d21b
Where do the extra few tokens come from when my prompt looks like 320 tokens but the API says 327?,bf0403d21b
"Does whitespace, newlines, or unusual Unicode change the token count in OpenAI chat requests?",bf0403d21b
Why is the token count from my own encoding not exactly the same as OpenAI’s count?,bf0403d21b
How can I avoid re-exporting my API key in every new terminal for this RAG project?,8b2f5e9d04
Is there a simple way to auto-load my `.env` file when I enter the folder?,8b2f5e9d04
What’s the best tool to make API keys work across different shells and operating systems?,8b2f5e9d04
"If I already use `direnv`, can I use that here instead of setting things up another way?",8b2f5e9d04
"For Python scripts in this setup, how do I load environment variables from `.env` automatically?",8b2f5e9d04
How do I decide on field weights in minsearch or a similar search engine without just guessing?,87d4ea4e08
What’s the best way to tune search field weights for retrieval quality?,87d4ea4e08
Should I use trial and error or some kind of evaluation to choose field weights?,87d4ea4e08
How can I test different field weights against a small set of questions and docs?,87d4ea4e08
Which metrics should I look at when comparing different search weight settings?,87d4ea4e08
"What should I clean out before using docs for RAG, like HTML junk or duplicate headers and footers?",649c280e6d
"Do I need to keep things like titles, section names, dates, and page numbers when preparing data for retrieval?",649c280e6d
"Is JSON the best format for storing RAG documents, or can I use something else too?",649c280e6d
How should I chunk documents so related context stays together for RAG?,649c280e6d
What kind of metadata is worth keeping if I want better filtering or ranking later?,649c280e6d
"Why does uv show a “Failed to hardlink files” warning in GitHub Codespaces, and do I need to worry about it?",acf8fa5356
"If uv can’t hardlink from the cache in Codespaces, does the install still go through or does it break?",acf8fa5356
What’s the easiest way to stop uv from printing the hardlink warning in my current shell session?,acf8fa5356
How can I make uv always use copy mode instead of hardlinking every time I open a new terminal?,acf8fa5356
Is there a uv setting or environment variable I should use in Codespaces to avoid the hardlink warning?,acf8fa5356
dotenv keeps saying it’s not recognized — what package do I need to install?,0bed1f48da
How do I add dotenv support in my project?,0bed1f48da
What’s the pip or uv command for getting dotenv working in Python?,0bed1f48da
"Once I install the dotenv package, how do I load my env vars in code?",0bed1f48da
Is python-dotenv the right library for using load_dotenv()?,0bed1f48da
Can I do this course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for the module?",aa310de435
What do I need installed if I want to run the course on my laptop?,aa310de435
"If I skip Codespaces and go local, do I need to keep track of my setup somehow?",aa310de435
Why does the course suggest Codespaces if local setup is also allowed?,aa310de435
"If I just work in Codespaces and don’t commit, does my code stay there somehow or can it disappear later?",610ccb23c0
Where is my code actually saved when I use GitHub Codespaces for the course?,610ccb23c0
"Do I need to commit my changes in Codespaces right away, or is the VM storage enough?",610ccb23c0
What happens to my work in Codespaces if the session stops or the environment gets deleted?,610ccb23c0
Why do people keep saying I should commit often in Codespaces instead of relying on the Linux VM?,610ccb23c0
Why does WSL2 say my model needs more system memory even though my PC has enough RAM?,f3dd94f323
How can I increase the RAM available to WSL2 on Windows so the model runs?,f3dd94f323
Where do I put a .wslconfig file to give WSL2 more memory?,f3dd94f323
What should the .wslconfig settings look like if I want WSL2 to use 8GB of RAM?,f3dd94f323
"After changing WSL2 memory settings, how do I restart it and check that the new RAM limit worked?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never connects — is there a quick fix or do I need to recreate it?",830f3d2018
"If my Codespace won't open in VS Code desktop, what should I try next to get back in?",830f3d2018
Why did my setup seem to disappear after a rebuild or after making a new Codespace?,830f3d2018
"What survives if I stop and start a Codespace, and what gets wiped out when I delete or recreate it?",830f3d2018
"If Codespaces keep acting flaky for this course, is it okay to switch and run everything locally instead?",830f3d2018
"Can I use something other than OpenAI for the RAG homework, or is the course locked to OpenAI only?",c6ff9083c0
"If my region blocks the provider used in class, what are the easiest alternatives I can swap in?",c6ff9083c0
"Do I need to rewrite the course code if I switch to Groq, OpenRouter, Gemini, or Mistral?",c6ff9083c0
Is it okay to run a model locally with Ollama or vLLM instead of calling an external API?,c6ff9083c0
"If I rent a GPU box and serve the model myself, will that still work with the course setup?",c6ff9083c0
How can I stop 429 errors from popping up when my notebook makes lots of OpenAI calls in this module?,8e21752415
What’s the best way to deal with OpenAI rate limits if I’m looping over many docs or embeddings?,8e21752415
"Should I just catch 429s after they happen, or is there a better setup to avoid them in the first place?",8e21752415
How do I make rerunning my notebook not waste requests and hit the API again for the same inputs?,8e21752415
Is there a course-friendly model or provider I can use so I don’t burn through request limits so fast?,8e21752415
What exactly counts as a tool or function in agentic RAG?,c296ea5a21
Do I need to care about the difference between tools and functions in this course?,c296ea5a21
When does the model decide to call a tool instead of just answering directly?,c296ea5a21
Can a tool in agentic RAG be used for things like database queries or calculations?,c296ea5a21
How is tool use in agentic RAG different from the usual retrieval step in basic RAG?,c296ea5a21
Which free models can I use that support tool use?,0d74a3616f
Does Groq have any models with tool calling that are free for development?,0d74a3616f
"Besides Groq, what other providers support tool or function calling?",0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tools?",0d74a3616f
Where can I read the docs for Groq tool use?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call OpenAI Responses API on a model from another provider like Mistral or Groq?,9e7b3f0c25
"Can I use `client.responses.create(...)` with non-OpenAI models, or is that only meant for OpenAI models?",9e7b3f0c25
"For providers that don’t support the Responses API, what should I use instead to read the model reply?",9e7b3f0c25
How do I change my code from `response.output` to the older chat completions format when working with a non-OpenAI model?,9e7b3f0c25
Is it fine to keep using `chat.completions` for homework or projects if my model provider works better with that API?,9e7b3f0c25
Why do I get Error code 400 saying tools[0].function is missing when I use Azure OpenAI for the weather tool?,b9c7c6bb34
What should the get_weather_tool JSON look like so Azure OpenAI accepts it without the missing required parameter error?,b9c7c6bb34
"Do I need to wrap my weather tool inside a function block for Azure OpenAI, and what fields should it include?",b9c7c6bb34
How can I fix the tool definition for get_weather so the city parameter is properly required?,b9c7c6bb34
Is there a specific JSON format for function calling in Azure OpenAI to avoid the tools[0].function invalid request error?,b9c7c6bb34
"Why do I get a 404 with toyaikit when I try Groq or another non-OpenAI model, and what should I switch to instead?",0224d980b3
How can I configure toyaikit to work with Groq using OpenAI-compatible chat completions instead of the Responses endpoint?,0224d980b3
What’s the right setup for Anthropic in toyaikit if I want to use Claude instead of an OpenAI model?,0224d980b3
"Does toyaikit support non-OpenAI providers at all, or is the issue that I’m using the wrong runner/client classes?",0224d980b3
"When I call `runner.loop(prompt=...)` in toyaikit, what do I get back, and when should I use `runner.run()` instead?",0224d980b3
Where do I actually find the Module 1 homework questions for this course?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page too?",53f15299b6
Can you point me to the 2026 Module 1 homework instructions and materials?,53f15299b6
Where should I look if I want the homework prompt plus any extra context for Module 1?,53f15299b6
Do I need to check both the GitHub repo and the course platform for homework details and submission?,53f15299b6
Why am I getting an empty list back after filtering my query in HW Q3 of module 1 homework?,83da208a64
Could this be caused by how I indexed the data before running the filters and search?,83da208a64
Do I need to set the index settings first before inserting documents into the index?,83da208a64
What should I check if my query works but the filtered result is always empty?,83da208a64
Is an indexing mistake the reason my HW Q3 filter returns no results?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create, and is it because my key is out of quota?",cfb07a27d5
How do I fix the OpenRouter 402 issue in my homework code when using responses.create?,cfb07a27d5
Where should I add max_output_tokens in rag_helper.py for the Module 1 assignment?,cfb07a27d5
What do I need to change in ToyAIKit for Q6 so OpenRouter stops rejecting my request?,cfb07a27d5
"If I still get 402 after setting max_output_tokens, what else should I check in my .env or OpenRouter setup?",cfb07a27d5
"In the Module 1 homework, what does it mean to point RAG at the chunk index instead of the original docs?",b4300adeb1
"When building the search index for RAG, should I fit it on the full documents or on the split chunks?",b4300adeb1
"If my data is already split into chunks, do I still need to use the original records anywhere in the retrieval step?",b4300adeb1
How does using the chunk index change what gets sent into the prompt in the RAG pipeline?,b4300adeb1
Why does the homework want the index built on chunks rather than on the full documents?,b4300adeb1
"For the homework multiple-choice questions, do my numeric answers have to match one option exactly?",5e4ca64cb5
"If my result is a little different from the choices, should I pick the nearest one or keep searching?",5e4ca64cb5
Why do homework answers sometimes not line up perfectly with the listed options?,5e4ca64cb5
What could cause small differences between my answer and the expected homework option?,5e4ca64cb5
When should I worry that my homework answer is too far from all the provided choices?,5e4ca64cb5
"Where do I actually need to read the Module 1 homework details, the course page or the GitHub instructions?",7d3a2e3505
"If the homework task wording is confusing, what’s the first place I should check for the right info?",7d3a2e3505
"For the 2026 cohort, which GitHub links should I open to see the Module 1 materials and homework?",7d3a2e3505
Why does the homework sometimes feel different from the lesson even when it uses the same idea?,7d3a2e3505
"If I’m still stuck after reading the instructions, how should I ask for help in Slack?",7d3a2e3505
"If I'm using a different LLM provider for the Module 1 homework, how should I count tokens from the model output?",fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in this homework?",fe8fed31e6
Where do I find the token count in OpenAI-style or compatible API responses?,fe8fed31e6
What should I do if my provider doesn't give me token usage information at all?,fe8fed31e6
"For the multiple-choice questions in Module 1 homework, how am I supposed to answer if the token count is only approximate?",fe8fed31e6
"Why is my homework repo link getting rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
Do I need to make my GitHub repo public for the homework checker to access it?,bcdb8740ce
"Can I submit a repo URL that ends with .git, or should it be the plain GitHub link?",bcdb8740ce
How can I quickly tell if the homework submission tool will be able to open my repo URL?,bcdb8740ce
What are the common reasons a homework submission URL looks valid to me but still returns an error to the checker?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we turn text or other non-numeric data into numbers?",69430a79a8
How do embeddings keep the meaning and context of data when converting it into numerical values?,69430a79a8
"Why do similar inputs usually end up with close embedding vectors, and how is that useful?",69430a79a8
"In vector search, what does it mean when embeddings are close to each other mathematically?",69430a79a8
"What are the main related ideas I should know with embeddings, like vector space models or dimensionality reduction?",69430a79a8
"How can I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" and sentence transformers v3?",aa3f597424
Is there a way to suppress the message that says the model was made on sentence-transformers v3.0.0 beta?,aa3f597424
"What should I install or upgrade to stop the ""multi-qa-mpnet-base-dot-v1"" warning?",aa3f597424
I keep seeing a warning about this embedding model and sentence-transformers version — how do I fix it?,aa3f597424
Do I need a newer sentence-transformers version to remove the warning for multi-qa-mpnet-base-dot-v1?,aa3f597424
Why did the lesson use `.dot(...)` for cosine similarity instead of explicitly normalizing the vectors?,92cd22cada
"Are OpenAI embeddings already unit-length, so dot product is enough in the video?",92cd22cada
"In the homework with TF-IDF plus SVD, why can't I just use dot product like in the lecture?",92cd22cada
When do I need to normalize embeddings before comparing them with cosine similarity?,92cd22cada
What changes between the lesson example and the homework that makes normalization necessary?,92cd22cada
"For vector search, is it better to embed just the answer text, just the question, or both together?",5c4a8d2e60
"In the vector search assignment, should I index only the answer, only the question, or concatenate question plus text?",5c4a8d2e60
"What embedding setup usually works best for retrieval in this module: text only, question only, or question + text?",5c4a8d2e60
"Is there a recommended way to build embeddings for questions in Module 2, or does it depend on the dataset?",5c4a8d2e60
"How do I decide whether to embed the question, the answer, or both when testing vector search quality?",5c4a8d2e60
What does cosine similarity actually measure between two vectors?,db78580409
How is cosine similarity used in text analysis to compare documents?,db78580409
"What kind of vectors do people usually plug into cosine similarity, like word counts or TF-IDF?",db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Why do we use the cosine of the angle instead of just comparing the vector values directly?,db78580409
Why does cosine similarity become just a dot product when the embeddings are normalized?,95feb4e75b
How can we use matrix multiplication to compute cosine similarity between a query and all document vectors?,95feb4e75b
What changes in cosine similarity if both the query and embeddings are already unit length?,95feb4e75b
Why does normalization let us ignore vector magnitude in similarity search?,95feb4e75b
Can you explain why cosine similarity can be calculated efficiently with embeddings in a matrix and one query vector?,95feb4e75b
"For Module 2 vector search, do I actually need to create another GitHub repository, or is making a fresh codespace from the same repo enough?",1e829a8c6f
Why does the course recommend a separate codespace for Module 2 instead of reusing the one from Module 1?,1e829a8c6f
"If I already have my course repository, can I just open a new codespace there for the vector search part, or is there something else I should do first?",1e829a8c6f
What happens if I finish Module 2 and want to get rid of the extra setup — can I just stop or delete that codespace safely?,1e829a8c6f
"Since the Module 2 codespace might be deleted later, do I need to commit my changes somewhere to avoid losing my work?",1e829a8c6f
Why does download.py stay stuck at 0% when trying to get model.onnx from HuggingFace?,29b69fbe0b
What can I do if the model.onnx download never starts and just hangs?,29b69fbe0b
Is there a way to avoid the HuggingFace download issue in download.py?,29b69fbe0b
Can I manually download model.onnx and use it instead of waiting for the script?,29b69fbe0b
"After I place model.onnx in the right folder, will download.py try to fetch it again?",29b69fbe0b
Why do the matrix dot-product version and the for-loop version of vector search return slightly different scores?,e889793af9
"If both methods are doing the same dot product, why does `np.allclose(scores, scores_loop)` sometimes say they’re not equal?",e889793af9
Is it a bug if `X.dot(v_query)` and the loop-based version don’t match exactly in vector search?,e889793af9
Why can optimized BLAS and a plain Python loop give tiny differences in the last decimals of the search scores?,e889793af9
What’s the right way to compare the vector search results from the matrix approach and the loop approach?,e889793af9
Why am I getting IndexError: list index out of range when I try to access the best chunk in my vector search code?,1a7b27c4df
What usually causes list index out of range when selecting the top chunk after embedding document chunks?,1a7b27c4df
How can I fix the error where the best chunk lookup fails because the embeddings and chunks don't seem to line up?,1a7b27c4df
Do my embeddings need to be created from the chunk contents directly to avoid an IndexError later on?,1a7b27c4df
Why should the number of vectors returned by encode_batch match the number of chunks in my list?,1a7b27c4df
"For Module 2 homework Q2, my cosine similarity doesn't match any multiple-choice answer — could I be using the wrong embedding model?",eaa17a9dc6
"Do we need to use the `Embedder` from `embedder.py` in homework 2 instead of `sentence-transformers`, and why would that change the cosine score?",eaa17a9dc6
"If I'm comparing the wrong field, like the filename or full object instead of the page content, can that make the Q2 result different?",eaa17a9dc6
"Should the cosine similarity in Q2 be computed with the query vector from Q1, and are the vectors already normalized by the homework embedder?",eaa17a9dc6
My value is close but not exact for the homework similarity question — is it okay to choose the nearest option because of small numerical differences?,eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily API keys so Kestra can use them in the orchestration module?",3860e5fe8b
Do I need to export both a normal Gemini key and a SECRET_ version before starting Kestra?,3860e5fe8b
"Why does Kestra want the API key in base64, and how do I make the environment variables for the flows?",3860e5fe8b
"When I use a secret inside a Kestra flow, should I reference the name with SECRET_ or without it?",3860e5fe8b
"After changing the API key variables, do I need to restart Docker Compose for Kestra to see them?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what should I check first?",04440cab11
"I set up the flows with a secret Gemini key, but the Copilot still refuses to answer — am I supposed to use a different env var?",04440cab11
What’s the right way to export the Gemini API key for Kestra Copilot before restarting Docker Compose?,04440cab11
"If Kestra Copilot still doesn’t work after I set the key, how can I tell whether the problem is a missing key, a typo, or quota limits?",04440cab11
"Do I need both the plain Gemini key and the base64 secret key for Kestra, and which one does the Copilot actually read?",04440cab11
Why does my Kestra flow say the Gemini key is invalid even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
"Could a base64 encoding issue make the secret wrong in Kestra, and how do I encode it correctly without breaking it?",c8ca21af33
"Do I need to restart Kestra after exporting my API variables, or should it pick them up automatically?",c8ca21af33
"When I use a secret in a Kestra flow, should I call it SECRET_GEMINI_API_KEY or just GEMINI_API_KEY in the template?",c8ca21af33
"Is it better to set the keys in a .env file for docker compose, and how do I start Kestra with that file?",c8ca21af33
Why can’t I just use a notebook for these AI workflows instead of an orchestrator like Kestra?,193612db63
What does Kestra add that a plain script or notebook doesn’t give me when I’m building an AI pipeline?,193612db63
"In this module, is Kestra mainly for orchestration, or is it also part of the AI stuff we’re learning like RAG and agents?",193612db63
"How does Kestra help with production workflow things like retries, scheduling, secrets, and monitoring?",193612db63
"If I switch from OpenAI to Gemini or Anthropic in a Kestra flow, do I need to rewrite the whole workflow?",193612db63
"Do I have to use Kestra for the whole LLM Zoomcamp, or is it only needed in Module 3?",cce328db64
"For the capstone project, can I choose Airflow, Prefect, Dagster, or even skip an orchestrator completely?",cce328db64
"If I build my ingestion pipeline with just a Python script, does that still count for the full project points?",cce328db64
Why does the course use Kestra in Module 3 instead of another orchestrator like Airflow?,cce328db64
"Can I use Kestra with different AI providers like OpenAI, Gemini, or Anthropic, or is it tied to one of them?",cce328db64
"Does Kestra work only with Gemini, or can I point it to OpenAI, Anthropic, Groq, or even a local Ollama model?",f442efe5b4
"If I already have a flow using Gemini in Kestra, do I need to rewrite the flow to switch to a different AI provider?",f442efe5b4
How can I use an OpenAI-compatible service like Groq or DeepSeek in Kestra if it doesn’t have its own plugin?,f442efe5b4
What’s the difference between Kestra’s generic AI plugin and the provider-specific plugins like the Gemini or OpenAI ones?,f442efe5b4
"Why does the course example use Gemini instead of other models, and is there a list of free or free-tier LLM options I can use instead?",f442efe5b4
"Is there a way to build a Kestra flow without writing YAML by hand, like a form or something?",bfe5502c30
"How does the AI Copilot in Kestra work, and can I keep tweaking the flow after it generates one?",bfe5502c30
