question,document,answer_score,answer_reasoning,trajectory_score,trajectory_reasoning
I can’t find my name on the leaderboard — how do I locate my own entry?,c2903069a0,good,"The agent’s answer matches the ground truth. It correctly says to click “Jump to your record on the leaderboard” to find the entry, mentions the auto-assigned random name like “Lucid Elbakyan,” and explains that “Edit Course Profile” shows or changes the display name. It also accurately describes the two fields, including the public nickname and the official certificate name, which aligns with the original answer’s key points.",good,"The search query was relevant to the user’s question and included core terms like leaderboard and locate my own entry. Only one search was used, which is reasonable because the answer is straightforward. The tool call supported the final response."
"Why does the leaderboard show a weird random name for me, and can I change it?",c2903069a0,good,"The agent’s answer matches the ground truth well. It correctly explains that a random nickname is assigned at account setup, that this is the name shown on the leaderboard, and that it can be changed in Edit Course Profile. It also correctly distinguishes the first field as the display/leaderboard nickname and the second field as the official name used on the certificate. This preserves the key information from the original answer, though it omits the specific note about clicking 'Jump to your record on the leaderboard' and the detailed examples of acceptable nickname choices. Those omissions do not materially change correctness.",good,"The tool call was relevant and included important keywords from the question such as leaderboard, random name, change, and display name. A single search is reasonable for this question, and there were no unnecessary duplicate calls. The search supported the final answer appropriately."
Where can I check what my display name is in the course profile?,c2903069a0,good,"The agent answer matches the ground truth. It correctly says to click “Edit Course Profile” to see the display name, and it correctly identifies the first field as the nickname/display name and the second as the official name for the certificate. It omits some extra context from the original, but the key information is present.",good,"The search query was relevant and included the key terms from the question (“display name”, “course profile”). Only one search call was made, which is reasonable for this straightforward lookup. The tool call supports the final answer."
What’s the difference between the nickname shown publicly and the official name for the certificate?,c2903069a0,good,"The agent answer matches the ground truth. It correctly explains that the public nickname/display name is used on the leaderboard/public records and can be any chosen or anonymous name, while the official name is the one printed on the certificate and should match identification documents. This preserves the key distinction from the original answer.",good,"The single search query was relevant to the question and reasonably targeted the distinction between nickname and official name. Only one tool call was made, which is appropriate here, and it supports the final answer without unnecessary duplication."
"If I don’t want the default anonymous name on my certificate, what do I need to update?",c2903069a0,good,"The agent answer matches the ground truth. It correctly states that the user must update the second field in Edit Course Profile with their official name as on ID/passport, and that the first field is only for the public nickname/display name. It also correctly notes this is required to avoid the default anonymous name on the certificate.",good,"The search query was relevant to the question and included the main concepts (certificate, anonymous name, update). Only one search call was made, which is reasonable for a straightforward FAQ-style question. The tool call supported the final answer adequately."
"Can I take this course at my own pace and still get a certificate, or is the certificate only for the live cohort?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly states that the course can be taken in self-paced mode, but the certificate is only available if the course is finished with a live cohort. It also includes the required capstone project and peer reviews, notes that homework is not required, and explains that project submission and peer review must occur while a live cohort is accepting them.",good,"The tool call was relevant and used key terms from the question such as self-paced, certificate, and live cohort. Only one search was needed, and there were no unnecessary duplicate calls. The search supported the final answer well."
"If I complete all the lessons in self-paced mode, will I still be eligible for a course certificate?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says that completing all lessons in self-paced mode is not enough, and that a certificate requires finishing with a live cohort. It also includes the key requirements: capstone project and required peer reviews, plus the clarification that project submission and peer review must occur while a live cohort is accepting them. This aligns with the original answer, including the note that homework is not required.",good,"The single search query was relevant and included important keywords from the question such as 'self-paced mode' and 'course certificate eligibility'. One search was sufficient, and there were no unnecessary duplicate calls. The tool call supports the final answer appropriately."
Why don't you give certificates for people who go through the course without joining the live run?,69d122f12e,good,"The agent answer matches the ground truth closely. It correctly states that certificates are only available if the course is finished with a live cohort, and that earning the certificate requires a capstone project and the required peer reviews. It also correctly notes that self-paced work is allowed, but submission and peer review must occur during a live cohort. This preserves the key information from the original answer.",good,"The search query was relevant to the question and included the core concepts: certificates, self-paced mode, and live run. Only one search was needed, which is reasonable for this straightforward FAQ-style question. The tool call supported the final answer well."
Do I have to be in the live cohort to do the capstone peer reviews needed for the certificate?,69d122f12e,bad,"The agent’s answer matches the key points of the ground truth: the capstone project and required peer reviews must be completed while a live cohort is accepting them, and self-paced mode alone is not enough for the certificate. However, it incorrectly begins with “Yes” to the question “Do I have to be in the live cohort...?” The ground truth says no, you can work in self-paced mode, but you must finish with a live cohort to earn the certificate. So the core certification condition is mostly correct, but the direct yes/no framing is wrong.",good,"The single search query was relevant and contained important keywords from the question: live cohort, capstone, peer reviews, certificate, FAQ. One search was enough for this straightforward policy question, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
"Is there any way to earn the certificate after the course ends, or does it only work while the class is running?",69d122f12e,good,"The agent’s answer matches the ground truth. It correctly says the certificate can only be earned while a live cohort is still accepting submissions, and that you can prepare in self-paced mode but must complete the capstone and peer reviews during the live period. This preserves the key distinctions from the original answer. The extra line about submissions being closed is consistent with the FAQ and does not change the meaning.",good,"The single search query was relevant and used important keywords from the question such as 'certificate', 'after course ends', and 'class running'. One search was sufficient, and there were no unnecessary duplicate calls. The tool use reasonably supported the final answer."
Can I still get the course certificate if I skipped the first homework?,9f689c185f,good,"The agent’s answer matches the ground truth on the key point: skipping the first homework does not block certificate eligibility, and homework is not mandatory. However, it adds extra requirements not present in the original answer (peer reviews and live cohort), so while broadly aligned, it is not fully faithful to the ground truth. Still, the core answer is correct.",good,"The search query was relevant to the question and included useful keywords like course certificate and homework requirement. Only one search call was made, which is reasonable. There were no obvious redundant or unnecessary tool calls."
"Is homework actually required to earn the certificate, or just the capstone?",9f689c185f,good,"The agent’s answer matches the ground truth on the key point that homework is not required and that the capstone is required for the certificate. It adds peer reviews and live cohort requirements, which are not mentioned in the original answer, but the core answer to the question is correct.",good,"The single search query was relevant and included the main keywords from the question (homework, certificate, capstone). One search was sufficient for this question, and there were no unnecessary duplicate calls."
What do I need to pass in order to receive the certificate for this course?,9f689c185f,good,"The agent correctly states that passing the Capstone project is required for the certificate, which matches the ground truth. It also says homework is not mandatory, which is consistent. However, it adds extra requirements about submitting during a live cohort and completing peer reviews that are not present in the original answer. Since the core answer matches, this is still good.",good,"The search query was relevant to the question and included certificate-related keywords. Only one search was used, which is reasonable. The call supported the final answer, though the query was somewhat generic."
"If homework isn’t mandatory, why should I still do it?",9f689c185f,good,"The agent answer matches the ground truth on the key points: homework is not mandatory, but it is recommended for reinforcing concepts and practicing application, and the points count toward leaderboard rank. It is slightly incomplete because it omits the certificate/Capstone detail that appears in the original answer, but that detail is not directly relevant to the user’s question about why to do optional homework. Overall, the substantive answer is correct.",good,"The tool query was relevant and included important keywords related to the question (homework, not mandatory, why do it, optional benefits, practice, learning). Only one search call was made, which is reasonable for this simple FAQ-style question. The call supported the final answer."
"Do homework points matter for the certificate, or only for the leaderboard ranking?",9f689c185f,good,"The agent’s answer matches the ground truth: homework is not required for the certificate, the Capstone project is required, and homework points count toward leaderboard ranking. It preserves all key information.",good,"The single search query was directly relevant and contained the key terms from the question (homework points, certificate, leaderboard ranking). One search call was sufficient, and there were no unnecessary or duplicate calls."
Why does the homework content keep changing before it's released?,96286b4be4,good,"The agent’s answer matches the ground truth closely. It correctly explains that the homework may still be in draft form, identifies the significance of the [DRAFT] tag, states the two conditions for readiness, and warns that the final version may differ. This preserves the key information from the original answer.",good,"The tool call was reasonable and relevant. The search query targeted the user’s question about homework changing before release, and only one search was needed. There were no unnecessary duplicate calls, and the result supports the final answer."
What does [DRAFT] mean in a homework title?,96286b4be4,good,"The agent answer matches the ground truth. It states that [DRAFT] means the homework is not ready yet, that readiness requires both the form being open and the title not containing [DRAFT], and that content may still change so working early is at the student's own risk. This captures the key information from the original answer.",good,"The single search query was relevant and included the key terms '[DRAFT]' and 'homework title meaning'. One search call was reasonable for this straightforward question, and there were no unnecessary duplicate calls."
How can I tell if a homework is actually ready to do?,96286b4be4,good,"The agent’s answer matches the ground truth. It correctly states that homework is ready only when the form is open and the title does not contain [DRAFT], and it also notes that [DRAFT] means it is not ready yet and that content may still change. This preserves the key information from the original answer.",good,"The tool call was reasonable: a single search using the full question is relevant and sufficient for retrieving the needed FAQ-style answer. There were no unnecessary duplicate searches, and the tool use supported the final response."
Is it safe to start homework early if the page is already there?,96286b4be4,good,"The agent answer matches the ground truth. It correctly states that homework is only ready when the form is open and the title does not contain [DRAFT], and that working early is at your own risk because the content may change. This captures the key safety guidance asked in the question.",good,"The single search query is relevant to the question and includes the main concepts of starting homework early and safety. One search call is reasonable here, and there were no unnecessary or duplicate calls."
When is a homework considered final and no longer likely to change?,96286b4be4,good,The agent answer matches the ground truth. It correctly states the two conditions for a homework to be considered final: the form must be open on the course management platform and the title must not contain [DRAFT]. It also preserves the warning that it may still change otherwise and that working early is at the student's own risk.,good,"The single search query is relevant and closely matches the question. One tool call is sufficient here, and there were no redundant or unnecessary searches. The tool call reasonably supports the final answer."
When is the next time this course will be offered?,bd31146b0e,good,The agent answer matches the ground truth exactly in meaning and key detail: the course will next be offered in Summer 2027.,good,"The search query was relevant to the question and aimed at finding the next offering date. Only one search call was made, which is reasonable, and it supported the final answer."
Do you know when the next run of the course starts?,bd31146b0e,good,The agent's answer matches the ground truth exactly in meaning and key detail: the next run of the course starts in Summer 2027.,good,The single search query was directly relevant to the user's question and contained the key phrase about the next run starting. One search call was reasonable and sufficient.
Is there a scheduled date for the course to be offered again?,bd31146b0e,good,"The agent's answer matches the ground truth exactly in substance: it states the course will be offered again in Summer 2027, which is the scheduled date given in the original answer.",good,"The single search query is relevant to the question and tries to identify when the course will be offered again. While it is somewhat generic and does not explicitly include the term 'Summer 2027,' one reasonable search was sufficient and there were no unnecessary duplicate calls."
When should I expect this course to be available next?,bd31146b0e,good,The agent's answer matches the ground truth exactly in meaning: it states the course will next be available in Summer 2027. No conflicting information is included.,good,"The single search query is relevant to the question and includes the key idea of course availability. One search call is reasonable for this simple factual lookup, and the result supports the final answer."
What’s the next offering date for this course?,bd31146b0e,good,The agent’s answer matches the ground truth exactly in substance: it states the next offering date is Summer 2027. No missing or contradictory information.,good,"The single search query is relevant and concise, targeting the key phrase about the next offering date. One search call is reasonable for this question, and there were no unnecessary or duplicate tool calls."
Where can I find the course lectures or videos for LLM Zoomcamp?,31456f4b5f,good,"The agent answer matches the ground truth: it points to the LLM Zoomcamp GitHub repository as the main entry point, says to open the lesson folders, notes that each lesson page has relevant videos linked at the top, and advises relying on the GitHub repo over the YouTube playlist because it is more up to date. This contains the key information from the original answer.",good,"The single search query was relevant and included key terms from the question ('LLM Zoomcamp', 'course lectures videos'). One search was sufficient, and no unnecessary duplicate calls were made. The tool call reasonably supported the final answer."
Is there a main place I should check first for the lesson videos?,31456f4b5f,good,"The agent’s answer matches the ground truth closely. It correctly identifies the LLM Zoomcamp GitHub repository as the main entry point, mentions that lesson folders/pages contain the relevant video links at the top, and notes that the repo is preferred over the YouTube playlist because it is easier to keep updated. The extra offer to point to docs is harmless and does not contradict the original answer.",good,"The single search query is relevant to the question and concise. It used the core idea of 'lesson videos' and 'main place check first,' which is appropriate. Only one search call was needed, and there were no unnecessary or duplicate tool calls."
Do the lesson pages include links to the videos somewhere?,31456f4b5f,good,"The agent’s answer matches the key points of the ground truth: the lesson pages include relevant video links at the top, and the GitHub repo is recommended as the main entry point because it is easier to keep updated than the YouTube playlist. It is concise but correct.",good,"The search query was relevant to the question and included important keywords like lesson pages and video links. Only one search call was needed, which is reasonable here. The tool call supports the final answer."
Should I use the GitHub repo or the YouTube playlist to get the latest lectures?,31456f4b5f,good,"The agent’s answer matches the ground truth key points: use the GitHub repo as the main source, it is easier to keep updated than the YouTube playlist, and lesson pages link relevant videos. It omits the specific repository link and the note about opening lesson folders, but the essential guidance is preserved.",good,"The single search query was relevant to the question and included important keywords like GitHub repo, YouTube playlist, latest lectures, and FAQ. Only one search call was used, which is reasonable for this straightforward question, and it supported the final answer."
How do I locate the videos for each lesson in the course repo?,31456f4b5f,good,"The agent’s answer matches the ground truth well. It correctly says to use the LLM Zoomcamp GitHub repository as the main entry point, open the lesson folders, find the relevant videos linked at the top of each lesson page, and prefer the GitHub repo over the YouTube playlist because it is easier to keep updated. It also includes the repo link, which is consistent with the original answer.",good,"The single search query was relevant to the user’s question and contained key concepts like locating videos, lesson repo, and course repo. One search was sufficient here, and there were no unnecessary duplicate calls. The tool use was reasonable and supported the final answer."
